ID,magnitude,Cadence,duration,latitude,longitude,Teff,Teff_error,logg,logg_error,Type,var_lc,num_peaks,median_peaks,mad_peaks
1961,8.2,120,54.8,41.51,308.36,7355,200,3.94,0.1, Solar-like,15.5119712783418,250,801.510825605666,719.19655603581
1962,6.8,120,27.4,44.12,297.27,4559,200,3.26,0.1, Solar-like,1474.31717709041,130,844.473468541144,821.70495286841
1963,7.2,120,27.4,24.31,255.96,5029,200,3.55,0.1, Solar-like,285.442808811786,118,828.218243812489,725.50076725749
1964,14.9,120,27.4,11.94,18.62,6419,200,4.45,0.1, Solar-like;Trans/Eclipse,0.0319707315911797,50,379.559380143404,277.750012728641
1965,7.6,120,27.4,21.04,162.15,7789,200,4.45,0.1, Solar-like,152.290528514581,105,1070.9625356228,1384.79859894351
1966,8.2,1800,27.38,18.34,212.56,8484,200,4.35,0.1, Solar-like,10.9278640551364,3,57.160048135603,81.0285800252378
1967,15.1,1800,27.38,36.13,75.86,6322,200,3.85,0.1, Solar-like,3.7596046159895e-05,4,132.850241547544,82.4945652184161
1968,15,1800,27.38,36.66,189.16,6747,200,4.21,0.1, Solar-like,NA,NA,NA,NA
1969,5.8,1800,27.38,50.56,106.89,5143,200,4.52,0.1, Solar-like;Flare,103259.389756223,1,25.7400257406618,0
1970,15.1,1800,27.38,22.36,210.56,6076,200,3.98,0.1, Solar-like;Flare,0.00645592039070374,1,2.00561572405624,0
1971,15.4,1800,27.38,46.56,125.63,4736,200,2.92,0.1, Solar-like,0.000433314321465856,8,114.994026284349,30.0492831541218
1972,5.9,1800,27.4,12.07,5.59,6439,200,4.35,0.1, Solar-like,NA,NA,NA,NA
1973,16.5,1800,27.38,15.99,81.06,5592,200,4.45,0.1, Solar-like;Trans/Eclipse;Flare,0.0116650654991308,8,74.4432139780982,61.5697674418608
1974,6.1,1800,54.79,61.68,266.65,7934,200,4.29,0.1, Solar-like,647.571104523608,4,158.882082694279,94.2864982127969
1975,16,1800,27.38,24.14,39.46,6853,200,4.32,0.1, Solar-like,5.61845794959345e-05,2,38.0162433034842,52.5199585270811
1976,12,1800,27.38,49.86,205.32,6011,200,4.44,0.1, Solar-like;Trans/Eclipse;Flare,53.4728421415934,6,60.6698756527014,52.0367027685013
1977,10,1800,27.38,52.85,324.31,5770,200,3.46,0.1, Solar-like,2.09947293224789,6,190.865712335763,43.8994120649009
1978,12.1,1800,27.38,6.25,243.21,6181,200,3.45,0.1, Solar-like,0.0387348497761541,5,147.106369218538,118.237310053128
1979,14,1800,54.79,47.61,270.25,8116,200,4.16,0.1, Solar-like,0.000415041596904921,2,17.4208625450389,21.1035054173342
1980,10.3,1800,82.19,71.38,243.23,5061,200,4.54,0.1, Solar-like;Trans/Eclipse;Flare,165.062035835249,19,42.1690156787774,38.6028188145818
1981,10.8,1800,27.38,48.63,162.16,6182,200,4.44,0.1, Solar-like;Trans/Eclipse;Flare,NA,NA,NA,NA
1982,13.4,1800,27.38,6.89,108.1,5482,200,3.67,0.1, Solar-like,0.00185323529368854,5,88.3256528417819,51.2419354838709
1983,8,1800,27.38,51.49,216.18,6299,200,4.5,0.1, Solar-like;Flare,5501.39666872432,1,2.00561572405624,0
1984,14.2,1800,27.4,12.86,20.9,9044,200,4.47,0.1, Solar-like,0.000242713671643616,1,5.52157662249406,0
1985,16,1800,27.38,6.33,222.46,6241,200,4.15,0.1, Solar-like;Flare,NA,NA,NA,NA
1986,10.9,1800,54.79,62.89,32.64,4986,200,3.01,0.1, Solar-like,1.62991163529812,8,117.71324247298,33.2047509867296
1987,6,1800,27.4,13.24,139,5520,200,3.81,0.1, Solar-like,1003.66725875807,5,173.12661498708,70.8736434108521
1988,6.9,1800,27.38,32.27,162.16,6975,200,4.04,0.1, Solar-like,225.122165964072,1,2.14832001374925,0
1989,6.4,1800,54.77,67.65,179.16,4845,200,4.59,0.1, Solar-like;Trans/Eclipse;Flare,659629.495864338,10,40.9779614322361,34.0358126719514
1990,7.1,1800,27.38,20.7,219.73,5255,200,4.5,0.1, Solar-like;Trans/Eclipse;Flare,52968.6839387058,5,46.3412005596861,35.9505334620997
1991,9.8,1800,246.58,77.47,132.13,6439,200,4.35,0.1, Solar-like,0.494980738351876,19,118.427107692437,48.5943143717829
1992,10.5,1800,27.38,9.59,99.59,6086,200,4.33,0.1, Solar-like;Flare,NA,NA,NA,NA
1993,7.9,1800,27.38,45.22,309.73,5338,200,3.27,0.1, Solar-like,142.720045315485,4,110.038610037251,127.52522522365
1994,9.2,1800,27.38,19.03,351.31,7081,200,4.41,0.1, Solar-like,NA,NA,NA,NA
1995,8,1800,27.38,13.32,125.1,8781,200,4.36,0.1, Solar-like,245.10550481504,1,2.9868578255675,0
1996,11.7,1800,27.38,26.56,321.77,7766,200,4.33,0.1, Solar-like,0.094349278275509,2,116.688116686675,166.005405403355
1997,11.9,1800,27.38,51.53,76.58,5194,200,4.52,0.1, Solar-like;Flare,NA,NA,NA,NA
1998,12,1800,27.37,54.28,269.25,6793,200,4.31,0.1, Solar-like,0.0147145296638022,4,77.811887099105,42.6688411363642
1999,9.6,1800,54.77,40.3,297.29,4880,200,3.64,0.1, Solar-like,2.41237679484628,13,109.880785711256,77.0516736667947
